Jimi Manuwa;0.25550795562767814;0.50336891566509334
Corey Anderson;1.15540520427618;0.50980457742555063
Gunnar Nelson;0.063310041897151947;0.45597869346116882
Alan Jouban;0.31967397692139943;0.53869785835518247
Brad Pickett;0.17458732919983125;0.3632259625183808
Marlon Vera;0.6090288112913762;0.59287160892788071
Arnold Allen;0.999980169192627;0.63817579890504461
Makwan Amirkhani;0.999980169192627;0.32844543901078571
Joe Duffy;0.74997750706434474;0.34015264242632165
Reza Madadi;0.74997750706434474;0.63513907491166954
Darren Stewart;0.98907432045561428;0.83928958382141317
Francimar Barroso;1.3955746473433812;0.14423714449654679
Daniel Omielanczuk;0.91621482165479606;0.44353526696060891
Tim Johnson;0.39190819971301316;0.53464943213152161
Leon Edwards;0.55317083519965093;0.54149055105772015
Vicente Luque;0.74147071281469779;0.42477938316841179
Marc Diakiese;1.4831726689047406;0.35722057826115194
Teemu Packalen;2.4546618450155981;0.58833199919301338
Tom Breese;3.2075029732634732;0.70765800043562765
Oluwale Bamgbose;1.3006060002126438;0.32943010948854567
Bradley Scott;0.44786577947150219;0.58396692342144263
Scott Askham;-0.10124054795490356;0.46790879298065136
